file,event,length,width,tracesum,tracemax,tracedev,padnum
273_800p.h5,18,13.417940527627858,3.9157034235392163,148687.119140625,21347.12266906888,3906.0455877247423,23
273_800p.h5,19,13.531458128777274,5.364264661756586,146412.171875,16437.102039821257,3351.1110886941765,30
273_800p.h5,20,13.66607327230456,4.548336857055417,147280.6328125,17500.708069735607,3489.8107077391533,25
273_800p.h5,21,13.820841033218713,6.4044766493966065,145886.3515625,14776.254649792509,3160.757836083746,35
273_800p.h5,22,13.666487652465152,5.002723838744801,143770.46875,18950.976988856117,3464.535176107079,29
273_800p.h5,23,13.737515954006533,4.1148034306795855,151171.67968750003,17597.018594762514,3599.461167697115,23
273_800p.h5,24,13.611040914301846,1.3573212323005963,149371.541015625,12230.092189075525,2921.5246779886284,18
273_800p.h5,25,13.680147656644829,0.5583738423152657,150736.7109375,19520.90902819538,3695.5067871957767,32
273_800p.h5,26,13.774406352512916,5.700948627795052,152897.11718750003,18857.094422835453,3657.3656747630016,29
273_800p.h5,27,13.726080913609694,3.704176851412738,151474.47265625,16911.698875504735,3466.1315619355214,19
273_800p.h5,28,13.469122414830125,4.115951784411626,145516.4140625,13859.145472332413,3028.397994985057,19
273_800p.h5,29,13.523059256165677,6.72018444425918,147777.1171875,11582.70908948456,2768.078009093878,27
273_800p.h5,30,13.738001616168344,1.128050770458167,151525.15429687506,13664.737950076815,3158.984650785034,22
273_800p.h5,31,13.652116794471626,5.796574339929562,150813.35937499997,21645.33260788715,3888.229501266272,35
273_800p.h5,32,13.74760312808389,5.711128087504295,153419.15624999997,11388.079203212468,2764.8478762096806,19
273_800p.h5,33,13.66323946286954,1.2160654457451356,147726.15625,23910.78268169925,4032.777643013511,34
273_800p.h5,34,5.3793013698043435,1.4523087466736069,147306.046875,12075.540615011849,2810.298999709408,20
273_800p.h5,35,13.575654508942744,1.6151622919557187,148661.34375,12530.763670925755,2969.7146242562694,28
273_800p.h5,36,13.63072124131365,3.807018435285288,153676.14843749994,23404.826571235186,4086.112708785619,23
273_800p.h5,37,13.77688043248035,5.404015443194999,145931.36328124994,22312.15709495753,3943.5281391298367,34
273_800p.h5,38,13.483671403498306,6.328572000620981,147625.4296875,15783.71037463026,3249.531056375814,33
273_800p.h5,39,13.740249037217433,5.628047719667032,153039.64062500003,22272.82650265321,3930.613810695949,34
273_800p.h5,40,13.810141506634897,1.6701323909300019,155233.54687500003,12954.962179590042,2976.797922283563,22
273_800p.h5,41,13.792530685615084,0.9949202138500407,155188.173828125,14067.700028604928,3122.541002380079,22
273_800p.h5,42,13.518927943375934,5.419960604746225,146198.21093749997,21971.529897116285,3933.1740771478776,29
273_800p.h5,43,13.609772892956446,1.5079498488671312,150499.96484375003,12059.326410133117,2960.6764111466296,19
273_800p.h5,44,13.518068993998698,5.2428069509894275,149840.0859375,22430.101012150935,3938.8606674763723,32
273_800p.h5,45,13.7125868098096,5.895837723290041,150044.54296874997,23674.81868644412,4033.229599746885,35
273_800p.h5,46,13.802502066327364,6.720429106110528,145699.60546875,18944.97629205909,3649.4318432473624,41
273_800p.h5,47,13.679285313186488,7.089309335594524,141994.8515625,20712.467761504762,3745.8481704393253,44
273_800p.h5,48,13.685877103389123,6.837954714299692,146499.23828125,19515.928495743767,3613.9419940715793,43
273_800p.h5,49,13.511654281547635,1.000117551933259,146095.08203125,14046.395618897719,3050.6221748989415,18
273_800p.h5,50,4.137262414217183,0.9428773320231348,154514.7890625,23386.82195111475,4104.6792960324965,26
